time_point,outdoor,ventilation_rate,pm25_concen,pm25_intake
2017/4/1 17:00,0,6.3882,13.3,0.000239
2017/4/1 16:57,0,6.3882,13.3,0.000116
2017/4/1 16:56,0,6.3882,13.3,0.00007
2017/4/1 16:55,0,6.3882,13.3,0.000085
2017/4/1 16:54,0,6.3882,13.3,0.00025
2017/4/1 16:51,0,6.3882,13.3,0.000168
2017/4/1 16:49,0,6.3882,13.3,0.000257
2017/4/1 16:46,0,6.3882,13.3,0.000167
2017/4/1 16:44,0,6.3882,13.3,0.000058
2017/4/1 16:44,0,6.3882,13.3,0.000057
2017/4/1 16:43,0,6.3882,13.3,0.000044
2017/4/1 16:43,0,6.3882,13.3,0.00011
2017/4/1 16:42,0,6.3882,13.3,0.000053
2017/4/1 16:41,0,6.3882,13.3,0.000086
2017/4/1 16:40,0,6.3882,13.3,0.000176
2017/4/1 16:38,0,6.3882,13.3,0.00025
2017/4/1 16:35,0,6.3882,13.3,0.000121
2017/4/1 16:33,0,6.3882,13.3,0.000054
2017/4/1 16:33,0,6.3882,13.3,0.00008
2017/4/1 16:32,0,6.3882,13.3,0.000052
2017/4/1 16:31,0,6.3882,13.3,0.000293
2017/4/1 16:28,0,6.3882,13.3,0.000133
2017/4/1 16:26,0,6.3882,13.3,0.000292
2017/4/1 16:23,0,6.3882,13.3,0.000133
2017/4/1 16:21,0,6.3882,13.3,0.000291
2017/4/1 16:18,0,6.3882,13.3,0.000134
2017/4/1 16:16,0,6.3882,13.3,0.000047
2017/4/1 16:16,0,6.3882,13.3,0.000244
2017/4/1 16:13,0,6.3882,13.3,0.000085
2017/4/1 16:12,0,13.4152,13.3,0.00043
2017/4/1 16:09,0,6.3882,13.3,0.000095
2017/4/1 16:08,0,6.3882,13.3,0.000049
2017/4/1 16:08,0,6.3882,13.3,0.000096
2017/4/1 16:07,0,6.3882,13.3,0.000171
2017/4/1 16:05,0,6.3882,13.3,0.000054
2017/4/1 16:04,0,6.3882,38,0.000137
2017/4/1 16:03,0,6.3882,38,0.000144
2017/4/1 16:03,1,6.3882,76,0.00026
2017/4/1 16:02,1,6.3882,76,0.000492
2017/4/1 16:01,1,6.3882,76,0.000493
2017/4/1 16:00,1,6.3882,76,0.000514
2017/4/1 15:59,1,6.3882,76,0.00028
2017/4/1 15:59,1,13.4152,76,0.000544
2017/4/1 15:58,1,13.4152,76,0.000548
2017/4/1 15:58,1,6.3882,76,0.000285
2017/4/1 15:57,1,13.4152,76,0.000592
2017/4/1 15:56,1,6.3882,76,0.000263
2017/4/1 15:56,1,6.3882,76,0.000258
2017/4/1 15:55,1,13.4152,76,0.000545
2017/4/1 15:55,1,13.4152,76,0.00065
2017/4/1 15:54,1,13.4152,76,0.000662
2017/4/1 15:53,1,13.4152,76,0.000663
2017/4/1 15:53,1,13.4152,76,0.000552
2017/4/1 15:52,1,13.4152,76,0.000526
2017/4/1 15:52,1,13.4152,76,0.001253
2017/4/1 15:52,1,13.4152,76,0.001234
2017/4/1 15:51,1,13.4152,76,0.00173
2017/4/1 15:51,1,13.4152,76,0.001709
2017/4/1 15:49,0,13.4152,38,0.000255
2017/4/1 15:48,0,6.3882,38,0.000121
2017/4/1 15:48,0,13.4152,38,0.000381
2017/4/1 15:47,0,13.4152,38,0.000429
2017/4/1 15:47,0,13.4152,38,0.000353
2017/4/1 15:46,0,13.4152,38,0.00026
2017/4/1 15:46,0,13.4152,38,0.001268
2017/4/1 15:43,0,6.3882,38,0.000322
2017/4/1 15:42,0,6.3882,38,0.000155
2017/4/1 15:41,0,6.3882,38,0.001061
2017/4/1 15:37,0,6.3882,38,0.000153
2017/4/1 15:36,0,6.3882,38,0.00049
2017/4/1 15:34,0,6.3882,38,0.000573
2017/4/1 15:32,0,6.3882,38,0.000151
2017/4/1 15:31,0,6.3882,38,0.001123
2017/4/1 15:27,0,6.3882,38,0.001214
2017/4/1 15:22,0,6.3882,38,0.000227
2017/4/1 15:21,0,6.3882,38,0.000987
2017/4/1 15:17,0,6.3882,38,0.000863
2017/4/1 15:13,0,6.3882,38,0.000351
2017/4/1 15:12,0,6.3882,38,0.001214
2017/4/1 15:07,0,6.3882,38,0.001048
2017/4/1 15:02,0,6.3882,38,0.000166
2017/4/1 15:02,0,6.3882,38,0.001214
2017/4/1 14:57,0,6.3882,38,0.000259
2017/4/1 14:56,0,6.3882,38,0.000955
2017/4/1 14:52,0,6.3882,38,0.001214
2017/4/1 14:47,0,6.3882,38,0.001182
2017/4/1 14:42,0,6.3882,38,0.000132
2017/4/1 14:41,0,6.3882,38,0.001082
2017/4/1 14:37,0,6.3882,38,0.001214
2017/4/1 14:32,0,6.3882,38,0.000787
2017/4/1 14:29,0,6.3882,42.5,0.000486
2017/4/1 14:27,0,6.3882,42.5,0.000662
2017/4/1 14:24,0,6.3882,42.5,0.000647
2017/4/1 14:22,0,6.3882,42.5,0.00071
2017/4/1 14:19,0,6.3882,42.5,0.001078
2017/4/1 14:15,0,6.3882,42.5,0.000279
2017/4/1 14:14,0,6.3882,42.5,0.001358
2017/4/1 14:09,0,6.3882,42.5,0.001358
2017/4/1 14:04,0,6.3882,42.5,0.001358
2017/4/1 13:59,0,6.3882,42.5,0.000221
2017/4/1 13:59,0,6.3882,42.5,0.001136
2017/4/1 13:54,0,6.3882,42.5,0.001358
2017/4/1 13:49,0,6.3882,42.5,0.00056
2017/4/1 13:47,0,6.3882,42.5,0.000798
